orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf,abstract
RKqL4GYXz3,Applications,Health Medicine,Poster,False,6,12,DPsurv: Dual-Prototype Evidential Fusion for Uncertainty-Aware and Interpretable Whole Slide Image Survival Prediction,Yucheng Xing; Ling Huang; Jingying Ma; Ruping Hong; Jiangdong Qiu; Pei Liu; Kai He; Huazhu Fu; Mengling Feng,2510.00053,https://openreview.net/forum?id=RKqL4GYXz3,2510.00053,,"Whole-slide images (WSIs) are widely used for cancer survival analysis because of their comprehensive histopathological information at both cellular and tissue levels, enabling quantitative, large-scale, and prognostically rich tumor feature analysis. However, most existing WSI survival analysis methods struggle with limited interpretability and often overlook predictive uncertainty in heterogeneous slide images. In this paper, we propose DPsurv, a dual-prototype whole-slide image evidential fusion network that outputs uncertainty-aware survival intervals, and enables interpretable survival results through patch prototype distribution assignment, component prototype evidence reasoning, and component-wise relative risk aggregation. Experiments on five publicly available datasets demonstrate strong discriminative performance and well-calibrated predictions, validating its effectiveness and reliability. The interpretation of survival results provides transparency at the feature, reasoning, and decision levels, thereby enhancing the trustworthiness and interpretability of DPsurv."
T4JzJ0V69W,Applications,Health Medicine,Poster,False,5,10,Doppler Prompting for Stable mmWave-based Human Pose Estimation,Shuntian Zheng; Jiaqi Li; Xiaoman Lu; Shuai He; Yu Guan,2605.13233,https://openreview.net/forum?id=T4JzJ0V69W,2605.13233,,"Millimeter-wave (mmWave) enables privacy-preserving, illumination-robust human pose estimation (HPE), with each mmWave frame represented as a range--angle--Doppler tensor, providing spatial magnitude for localization and Doppler signatures for motion-related cues.
However, existing mmWave-based HPE methods either underutilize or naïvely fuse Doppler signatures with spatial magnitude, disregarding their distinct physical semantics. 
As a result, non-human Doppler signatures can be misinterpreted as human motion cues, leading to jittery trajectories. 
We propose \textbf{PULSE}, which converts Doppler signatures into confidence-aware motion prompts and injects them into spatial magnitude reasoning through constrained interactions.
By screening Doppler prompts before they influence prediction, PULSE first suppresses spurious spectral motion cues and then uses the screened prompts to stabilize prediction.
Across three datasets spanning single- and multi-person settings, PULSE consistently improves pose accuracy and temporal stability, indicating that controlled Doppler prompting is a practical direction for stable mmWave HPE.
Codes are available in supplementary materials."
Eq8LZNsbUb,Applications,Health Medicine,Poster,False,3,6,CONTEXTOR: Contextualized High-order Contrastive Learning,Ze Cai; Hanzhe Liang; Sihang Zeng; Binbin Zhou; Jun Wen,,https://openreview.net/forum?id=Eq8LZNsbUb,,,"High-order relations involving multiple interacting entities are commonly encountered, particularly in biomedical domains. Existing relational learning methods typically learn static entity representations and assume symmetric relation inference, which can be inadequate for capturing context-dependent entity functions and the inherent asymmetry of high-order relations. In this paper, we propose Contextualized High-order Contrastive Learning (CONTEXTOR), a general and plug-and-play framework that formulates high-order relation inference as a dynamic query–response process. Specifically, CONTEXTOR decomposes each high-order relation into multiple incomplete query tuples and their corresponding response entities. Given a query tuple, we contextualize candidate response entity representations via an asymmetric conditional modulation, and align queries with their corresponding contextualized responses through multi-fold contrastive learning. Extensive experiments on benchmark datasets spanning multiple biomedical tasks demonstrate that CONTEXTOR consistently outperforms existing methods across diverse evaluation settings. Code is available at https://github.com/ZJUDataIntelligence/CONTEXTOR."
pFweJM4Uw8,Applications,Neuroscience Cognitive Science,Poster,False,2,4,NeuroCLUS: A Foundation Model with Functional Clustering for Intracranial Neural Decoding,Hui Zheng; Haiteng Wang,,https://openreview.net/forum?id=pFweJM4Uw8,,,"Foundation models for intracranial neural recordings aim to learn generalizable representations from large-scale unlabeled data. However, existing approaches rely on suboptimal tokenization schemes -- treating individual electrode channels as independent tokens or aggregating them into a single brain-wide representation -- which fail to capture the brain’s inherent functional modularity. We introduce NeuroCLUS, a foundation model that learns to represent neural activity through data-driven functional clusters. NeuroCLUS is built on a novel two-stage pre-training framework. First, a spatial-temporal model learns a functional context graph between channels via a functional context prediction task. Second, this graph guides a soft clustering of channels into a set of learnable prototype tokens, enabling the transformer backbone to process coherent functional units rather than raw channels. Evaluated across a diverse range of decoding paradigms -- including speech perception, speech production, and seizure detection -- NeuroCLUS consistently achieves state-of-the-art performance. The discovered functional clusters align with established neurophysiology and offer enhanced interpretability. Our work demonstrates that explicitly modeling functional neural groupings significantly improves the efficiency, generalization, and interpretability of foundation models for intracranial decoding."
ptbzlHzmEv,Applications,Health Medicine,Poster,False,5,10,HiST: A Hierarchical Sparse Transformer for Cross-Modal Spatial Transcriptomics Modeling,Weiyi Wu; Xinwen Xu; Xingjian Diao; Siting Li; Zhi Wei; Alma Andersson; Jiang Gui,2606.14251,https://openreview.net/forum?id=ptbzlHzmEv,2606.14251,,"Spatial transcriptomics (ST) links gene expression with tissue morphology but remains expensive and low-throughput, motivating surrogates that infer expression from routine histology.
Whole-slide H&E-to-ST inference pairs a gigapixel image with gene measurements at a sparse, irregular set of locations, making multiscale modeling challenging without incurring dense-grid overhead or quadratic token mixing.
We propose HiST, a hierarchical sparse transformer that treats measured locations as a lattice-indexed sparse field and builds a dyadic encoder--decoder directly on the active tissue footprint.
HiST combines sparse window attention for local geometric correspondence with resolution-changing operators for rapid multiscale context integration.
For a fixed window size, the dominant runtime and memory scale with the number of observed locations rather than the dense slide area.
To mitigate slide-specific acquisition variation, HiST adds a bottlenecked global conditioning pathway via a \emph{slide calibration token} that summarizes slide-level context and conditions local representations.
On a multi-organ benchmark spanning diverse tissues and acquisition sources, HiST improves predictive performance over recent baselines while reducing runtime and peak memory."
fFUI2PGaNG,Applications,Health Medicine,Poster,False,5,10,Automatic Construction of Clinical Scoring Systems with LLM Agents,Silas Ruhrberg Estévez; Christopher Chiu; Mihaela van der Schaar,2601.22324,https://openreview.net/forum?id=fFUI2PGaNG,2601.22324,,"Modern clinical practice relies on evidence-based guidelines implemented as compact scoring systems composed of a small number of interpretable decision rules. While machine-learning models achieve strong performance, many fail to translate into routine clinical use due to misalignment with workflow constraints such as memorability, auditability, and bedside execution. We argue that this gap arises not from insufficient predictive power, but from optimizing over model classes that are incompatible with guideline deployment. Deployable guidelines often take the form of unit-weighted  clinical checklists, formed by thresholding the sum of binary rules, but learning such scores requires searching an exponentially large discrete space of possible rule sets. We introduce AgentScore, which performs semantically guided optimization in this space by using LLMs to propose candidate rules and a deterministic, data-grounded verification-and-selection loop to enforce statistical validity and deployability constraints.  Across eight clinical prediction tasks, AgentScore outperforms existing score-generation methods and achieves AUROC comparable to more flexible interpretable models despite operating under stronger structural constraints. On two additional externally validated tasks, AgentScore achieves higher discrimination than established guideline-based scores."
iTkQLqa1Ha,Applications,Health Medicine,Poster,False,6,12,Med-Scout: Curing MLLMs' Geometric Blindness in Medical Perception via Geometry-Aware RL Post-Training,Anglin Liu; Ruichao Chen; Yi Lu; Hongxia Xu; Jintai Chen,2601.23220,https://openreview.net/forum?id=iTkQLqa1Ha,2601.23220,,"Despite recent Multimodal Large Language Models (MLLMs)' linguistic prowess in medical diagnosis, we find even state-of-the-art MLLMs suffer from a critical perceptual deficit: **geometric blindness**. This failure to ground outputs in objective geometric constraints leads to plausible yet factually incorrect hallucinations, rooted in training paradigms that prioritize linguistic fluency over geometric fidelity. This paper introduces Med-Scout, a novel framework that ""cures"" this blindness via Reinforcement Learning (RL) that leverages the intrinsic geometric logic latent within unlabeled medical images. Instead of relying on costly expert annotations, Med-Scout derives verifiable supervision signals through three strategic proxy tasks inspired by the systematic reading and reasoning patterns of clinicians: Hierarchical Scale Localization, Topological Jigsaw Reconstruction, and Anomaly Consistency Detection. To rigorously quantify this deficit, we present Med-Scout-Bench, a new benchmark specifically designed to evaluate geometric perception. Extensive evaluations show that Med-Scout significantly mitigates geometric blindness, outperforming leading proprietary and open-source MLLMs by over **40%** on our benchmark. Furthermore, this enhanced geometric perception generalizes to broader medical understanding, achieving superior results on radiological and comprehensive medical VQA tasks. The project page is: https://github.com/HKUSTGZ-ML4Health-Lab/Med-Scout."
XFHjS8kw6X,Applications,Health Medicine,Poster,False,5,10,MedREK: Retrieval-Based Editing for Medical LLMs with Key-Aware Prompts,Shujun Xia; Haokun Lin; Yichen Wu; Yinan Zhou; Zixuan Li; Zhongwei Wan; Xingrun Xing; Yefeng Zheng; Xiang Li; Caifeng Shan; Zhenan Sun; Quanzheng Li,2510.13500,https://openreview.net/forum?id=XFHjS8kw6X,2510.13500,2510.13500,"Large Language Models (LLMs) hold great promise for healthcare applications, but fast-changing medical knowledge can quickly make their outputs outdated or inaccurate, limiting use in high-stakes settings. Model editing can update LLMs without full retraining, but parameter-based methods often break locality and are risky in medicine, making retrieval-based editing a better fit. However, applying model editing methods to the medical domain has two key challenges: (1) retrieval-based methods suffer from representation overlap within the medical knowledge space that causes inaccurate retrieval and reduces editing accuracy; (2) existing medical editing methods are restricted to single-sample edits, while batch-editing remains largely unexplored despite its importance for real-world applications. To address these challenges, we construct MedVersa, an expanded benchmark that evaluates single and batch edits across broader medical coverage under strict locality constraints. We then propose MedREK, a retrieval-based editing framework that integrates a shared query–key module for precise matching with an attention-based prompt encoder for informative guidance. Experiments across various medical benchmarks show that our MedREK consistently improves key metrics and provides the first validated solution for batch editing in medical LLMs."
ZK3h2ENA67,Applications,Neuroscience Cognitive Science,Poster,True,2,4,NeuronCtrl: Geometry-Aware Safe Closed-Loop Generative Control for Neuronal Microenvironment Dynamics,Haowei Xu; Yixin Chen; Wanyi Fu; Hongbin Han; Zhaoheng Xie,,https://openreview.net/forum?id=ZK3h2ENA67,,,"Neuromodulation can be viewed as closed-loop control of high-dimensional spatiotemporal fields on irregular 3D morphologies, coupling membrane electrophysiology with ionic reaction--diffusion. This view supports high-rate feedback and systematic in-silico evaluation, yet is difficult in practice. Unlike classical PDE control with known equations on regular domains, neuronal microenvironments exhibit complex, often unknown biophysics on irregular shapes. High-fidelity simulators are too costly for real-time control with repeated planning. The discretized field is sparsely observed and must satisfy hard full-field safety constraints. We introduce NeuronCtrl, a modular operator-level framework for safe, closed-loop generative control of neuronal microenvironment dynamics. Given measurements, actions, and morphology, a history-conditioned observer infers the latent field, a morphology-aware neural operator predicts one-step dynamics, and a flow-matching conditional flow proposes actions conditioned on user preferences. Safety is enforced via complementary barrier-based mechanisms at both the action and field levels, with minimal intervention. When latency is critical, the multi-step generator is distilled into a single-step policy while retaining the same safety filter. Experiments across three high-fidelity 3D neuromodulation benchmarks spanning deep brain stimulation, extracellular reaction--diffusion control, and astrocytic potassium regulation demonstrate improved trade-offs among cost, safety, and latency. Code is available at https://github.com/HowieHsu0126/NeuronControl."
bGxMpQsIuN,Applications,Health Medicine,Poster,False,6,12,Are We Overconfident in Models and Results for Semi-Supervised 3D Medical Image Segmentation?,Jun Li; Ziwei Qin,2605.25561,https://openreview.net/forum?id=bGxMpQsIuN,2605.25561,,"Semi-supervised learning has become a dominant paradigm for reducing annotation costs. However, we argue that the current progress is clouded by a twofold overconfidence problem. Algorithmically, mainstream pseudo-labeling frameworks often conflate prediction confidence with uncertainty, leading to severe confirmation bias. Strategically, since multiple benchmark datasets lack dedicated validation sets, some studies use the test set for validation as well, leading to inflated performance estimates. Subsequent methods, compelled to employ the same strategy to surpass reported SOTA, trigger an arms race of overfitting. This raises concerns that the impressive numerical gains in the community may reflect overfitting rather than genuine progress. Thus, we propose a tri-space calibrated segmentation framework founded on a principled dual-axis reliability assessment engine. It explicitly decouples confidence from uncertainty and uses this signal to detect and correct confirmation bias across feature, probability, and image spaces in a collaborative manner. Across three benchmark datasets, TCSeg consistently delivers strong performance under existing evaluation protocols. More importantly, we advocate that the community report final-checkpoint results under multiple-run protocols, thereby establishing more rigorous benchmarks with a more realistic perspective. Code will be available: github.com/DirkLiii/TCSeg."
0VEeF91Fm6,Applications,Health Medicine,Poster,False,6,12,Towards Docking-oriented De Novo Ligand Design via Gradient Inversion,Zekai Chen; Xunkai Li; Sirui Zhang; Henan Sun; Jia Li; Qiangqiang Dai; Hongchao Qin; Zhenjun Li; Bing Zhou; Rong-Hua Li; Guoren Wang,2510.09020,https://openreview.net/forum?id=0VEeF91Fm6,2510.09020,,"De novo ligand design is a fundamental task that seeks to generate protein or molecule candidates that can effectively dock with protein receptors and achieve strong binding affinity entirely from scratch. 
    It holds paramount significance for a wide spectrum of biomedical applications.
    However, most existing studies are constrained by the \textbf{Pseudo De Novo}, \textbf{Limited Docking Modeling}, and \textbf{Inflexible Ligand Type}.
    To address these issues, we propose MagicDock, a forward-looking framework grounded in the progressive pipeline and differentiable surface modeling.
    (1) We adopt a well-designed gradient inversion framework.
    To begin with, general docking knowledge of receptors and ligands is incorporated into the backbone model.
    Subsequently, the docking knowledge is instantiated as reverse gradient flows by binding prediction, which iteratively guide the de novo generation of ligands.
    (2) We emphasize differentiable surface modeling in the \textit{generation process}, leveraging learnable 3D point-cloud representations to precisely capture docking details, thereby ensuring that the generated ligands preserve docking validity through interpretable spatial fingerprints.
    (3) We introduce customized designs for different ligand types and integrate them into a unified gradient inversion framework with flexible triggers, thereby ensuring broad applicability.
    Moreover, we provide sufficient theoretical guarantees for MagicDock.
    Extensive experiments across 9 scenarios demonstrate that MagicDock achieves average improvements of 7.0\% and 7.4\% over SOTA baselines specialized for protein or molecule ligand design, respectively."
Og7FKaRBQA,Applications,Health Medicine,Poster,False,6,12,Discontinuous Galerkin Neural Operator for Pathology Defocus Deblurring,Shaoqing Duan; Haofei Song; Xintian Mao; Qingli Li; Yan Wang,2605.23282,https://openreview.net/forum?id=Og7FKaRBQA,2605.23282,,"Defocus deblurring in pathological microscopy remains challenging due to the spatially varying and locally discontinuous nature of optical blur induced by a position-dependent integral imaging process.
  Existing deep learning methods, constrained by shift-invariance assumptions and limited interpretability, are not well suited to such heterogeneous blur patterns.
  Neural operators provide a principled alternative by modeling defocus formation directly as an integral operator, offering a new perspective on defocus deblurring.
  However, most existing neural operator architectures for low-level vision rely on globally parameterized kernels that assume smoothness and stationarity, limiting their ability to model heterogeneous and locally discontinuous blur patterns.
  To address this limitation, we propose the Discontinuous Galerkin Neural Operator (DGNO), which parameterizes the integral kernel using a discontinuous Galerkin formulation with element-local volume operators and interface numerical fluxes.
  DGNO provides a principled combination of locality,
  heterogeneity modeling, and global coherence while preserving the underlying physics
  of optical image formation. 
  Extensive experiments demonstrate that DGNO surpasses state-of-the-art methods, delivering sharper reconstructions, robust handling of spatially varying blur, and scalable high-resolution performance."
